rocket name
Sputnik
Vanguard
Explorer
NOTS
Pioneer
Luna
Beacon
Discoverer
Transit
Midas
Echo
Korabl
Mercury
Courier
Mars
Samos
Solrad
Venera
Lofti
Injun
Ranger
Westford
Kosmos
Secor
ANNA
Mariner
ERS
TRS
Syncom
Lanyard
Hitchhiker
GRS
Zond
ORBIS
Molniya
ESRS
AC
Transtage
Improve
MTV
OV1
Tiros
FOBS
OV
Surcal
OSO
Starad
LCS
GATV
Proton
OAO
ATDA
IDCSP
Surveyor
Osumi 
Intelsat
Ksmos
Biosatellite
Apollo
OGCh
ATS
Osumi
Soyuz
Titan
ESRO
Nimbus
GSD
UVR
OV5
Radcal
Orbiscal
Lidos
RM
STV
Meteor
Lunokhod
N
L
TTS
Chinasat
RHYOLITE
Skynet
Orba
MS
IMEWS
LK
ITOS
Nauka
CANYON
D
Jumpseat
Salyut
NOAA
JSSW
VDS
Sphinx
FSW
P72
DSCS
Intercosmos
CORSA
Block
OTS
Ekran
Gorizont
ECS
SJ
Rhohini
RCA
CAT
AMSAT
Feuerrad
AMS
NOSS
SSU
LIPS
SDS
Rohini
DE
Fleetsatcom
Navstar
MARECS
Sirio
Raduga
STTW
Westar
Palapa
KH
Spacenet
STS
TDRS
Spartan
GOES
SROSS
Energyia
Phobos
VORTEX
Okean
Hagoromo
Superbird
BS
Advanced
MAK
DFH
TSS
Galaxy
Aussat
UFO
IRS
Landsat
Telstar
Eutelsat
Turksat
STEP
ETS
Ofeq?
Panamsat
Express
Apstar
Gurwin
UNAMSAT
EKA
Koreasat
VITASAT
Fasat
Raguda
Cluster
ADEOS
SAC
HETE
MAS
Penetrator
Insat
Iridium
SCD
Kupon
HGS
Ofeq
COMETS
Kwangmyongsong
Globalstar
ATEX
Deep
WIRE
DSP
Ikonos
ABRIXAS
Milstar
Orion
TERRIERS
SACI
Ekspress
MTSAT
ASUSAT
Astro
JAK
Thelma
Louise
STENSAT
ICO
QuickBird
LDREX
Gonets
Strela
GSAT
BSAT
Genesis
Simplesat
Orbview
QuikTOMS
SBD
Celestis
DASH
CONTOUR
HTSTL
Foton
Astra
MUSES
Minerva
Beagle
SATEC
UNOSAT
PS2
IGS
Demosat
3CS
DART
Cosmos
Cryosat
SSETI
NCube
Mozhayets
Arabsat
FalconSat
Kompass
BelKA
Baumanets
Unisat
PICPOT
ICECube
ION
RINCON
AeroCube
CalPoly
SEEDS
HAUSAT
MEROPE
KUTESat
SACRED
Voyager
Xinnuo
NSS
DemoFlight
NROL
JCSAT
YES
AMC
Trailblazer
PreSat
Nanosail
OCO
STSAT
Planet
Glonass
Geo
Glory
E1P
Hermes
KySat
Progress
Fobos
Yinghuo
Meridian
