,rockets name,organization name,date,lat,lng,S/F,reason for failure
511,Naro-1 | STSAT-2B,Korea Aerospace Research Institute,"June 10, 2010 08:01:00 UTC",34.431867,127.535069,F,Rapid Unscheduled Disassembly during first stage burn.
512,Naro-1 | STSAT-2C,Korea Aerospace Research Institute,"January 30, 2013 07:00:00 UTC",34.431867,127.535069,S,Na
513,H-IIA 202 | Akatsuki (Planet-C),Mitsubishi Heavy Industries,"May 20, 2010 21:58:22 UTC",30.401,130.977,S,Na
514,Falcon 9 Block 4 | TESS (Transiting Exoplanet Survey Satellite),SpaceX,"April 18, 2018 22:52:01 UTC",28.56194122,-80.57735736,S,Na
515,"Proton-M/DM-2 Enhanced | 3 x Glonass-M (Kosmos 2459, Kosmos 2460, Kosmos 2461)",Khrunichev State Research and Production Space Center,"March 1, 2010 21:19:00 UTC",46.071001,62.984999,S,Na
516,"Proton-M/DM-2 Enhanced | 3 x Glonass-M (Kosmos 2464, Kosmos 2465, Kosmos 2466)",Khrunichev State Research and Production Space Center,"September 2, 2010 00:53:43 UTC",46.071001,62.984999,S,Na
517,"Proton-M/Blok DM-03 Enhanced | 3 x Glonass-M (Kosmos 2488, Kosmos 2489, Kosmos 2490)",Khrunichev State Research and Production Space Center,"December 5, 2010 10:25:00 UTC",46.071001,62.984999,F,Human error during fueling caused the upper stage mass to be too great and the rocket failure to achieve parking orbit.
518,Soyuz-2.1b/Fregat | Glonass-K1 (Kosmos 2471),Russian Space Forces,"February 26, 2011 03:07:00 UTC",62.92883,40.457098,S,Na
519,Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2474),Russian Space Forces,"October 2, 2011 20:15:00 UTC",62.92883,40.457098,S,Na
520,Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2478),Russian Space Forces,"October 28, 2011 08:25:57 UTC",62.92883,40.457098,S,Na
521,"Proton-M Briz-M | 3 x Glonass-M (Kosmos 2475, Kosmos 2476, Kosmos 2477)",Khrunichev State Research and Production Space Center,"November 4, 2011 12:51:41 UTC",46.071001,62.984999,S,Na
522,Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2485),Russian Aerospace Defence Forces,"April 26, 2013 05:23:41 UTC",62.92883,40.457098,S,Na
523,Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2494),Russian Aerospace Defence Forces,"March 23, 2014 22:54:03 UTC",62.92883,40.457098,S,Na
524,Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2500),Russian Aerospace Defence Forces,"June 14, 2014 17:16:48 UTC",62.92883,40.457098,S,Na
525,Delta II 7420-10 | GeoEye-1,United Launch Alliance,"September 6, 2008 18:50:00 UTC",34.7556,-120.6224,F,
526,Rokot / Briz-KM | Geo-IK-2 №11L (Kosmos 2470),Russian Space Forces,"February 1, 2011 14:00:00 UTC",62.886999,40.846984,S,Na
527,Atlas V 401 | SBIRS GEO Flight 1 (USA-230) (SBIRS GEO-1),United Launch Alliance,"May 7, 2011 18:10:00 UTC",28.58341025,-80.58303644,S,Na
528,Atlas V 401 | SBIRS GEO Flight 2 (USA-241) (SBIRS GEO-2),United Launch Alliance,"March 19, 2013 21:21:00 UTC",28.58341025,-80.58303644,S,Na
529,Ariane 5 ES | ATV-5 (Georges Lemaître),Arianespace,"July 29, 2014 23:47:38 UTC",5.239,-52.768,S,Na
530,Rokot / Briz-KM | Geo-IK-2 №12L (Kosmos 2517),Russian Space Forces,"June 4, 2016 14:45:00 UTC",62.886999,40.846984,S,Na
531,Atlas V 401 | SBIRS GEO Flight 3 (SBIRS GEO-4),United Launch Alliance,"January 21, 2017 01:22:00 UTC",28.58341025,-80.58303644,S,Na
532,Atlas V 411 | SBIRS GEO Flight 4 (SBIRS GEO-3),United Launch Alliance,"January 20, 2018 01:32:00 UTC",28.58341025,-80.58303644,S,Na
533,Ariane 5 ECA | GSAT-11 & GEO-KOMPSAT-2A,Arianespace,"December 4, 2018 21:34:00 UTC",5.239,-52.768,S,Na
534,Rokot / Briz-KM | Geo-IK-2 N13L,Russian Space Forces,"January 1, 2019 00:00:00 UTC",62.886999,40.846984,F,
535,Minotaur-C (Taurus XL) | Glory,Orbital Sciences Corporation,"March 4, 2011 10:09:43 UTC",34.57635,-120.63245,S,Na
536,"Soyuz-2.1b/Fregat | Meteor-M No.2, MKA-PN2, DX-1, UKube-1, TechDemoSat-1, SkySat-2, AISSat-2",Russian Federal Space Agency (ROSCOSMOS),"July 8, 2014 15:58:28 UTC",45.996034,63.564003,S,Na
537,Vega | PerúSAT-1 / SkySat 4-7,Arianespace,"September 16, 2016 01:43:35 UTC",5.236,-52.775,S,Na
538,Minotaur-C (Taurus XL) | 6 x SkySat & 4 x Dove,Orbital ATK,"October 31, 2017 22:22:00 UTC",34.739444,-120.619167,S,Na
539,Soyuz-U | Progress M-04M (36P),Russian Federal Space Agency (ROSCOSMOS),"February 3, 2010 03:45:30 UTC",45.92,63.342,S,Na
540,Soyuz-U | Progress M-05M (37P),Russian Federal Space Agency (ROSCOSMOS),"April 28, 2010 17:15:00 UTC",45.92,63.342,S,Na
541,Soyuz-U | Progress M-06M (38P),Russian Federal Space Agency (ROSCOSMOS),"June 30, 2010 15:35:00 UTC",45.92,63.342,S,Na
542,Soyuz-U | Progress M-07M (39P),Russian Federal Space Agency (ROSCOSMOS),"September 10, 2010 10:22:00 UTC",45.996034,63.564003,S,Na
543,Soyuz-U | Progress M-08M (40P),Russian Federal Space Agency (ROSCOSMOS),"October 27, 2010 15:11:53 UTC",45.92,63.342,S,Na
544,Soyuz-U | Progress M-09M (41P),Russian Federal Space Agency (ROSCOSMOS),"January 28, 2011 01:31:41 UTC",45.92,63.342,S,Na
545,Soyuz-U | Progress M-10M (42P),Russian Federal Space Agency (ROSCOSMOS),"April 27, 2011 13:05:21 UTC",45.92,63.342,S,Na
546,Soyuz-U | Progress M-11M (43P),Russian Federal Space Agency (ROSCOSMOS),"June 21, 2011 14:38:00 UTC",45.92,63.342,S,Na
547,Soyuz-U | Progress M-12M (44P),Russian Federal Space Agency (ROSCOSMOS),"August 24, 2011 00:00:00 UTC",45.92,63.342,F,"Approximately 325 seconds into flight, a malfunction was detected in the RD-0110 engine powering the Blok I third stage of the Soyuz-U rocket, which caused the onboard computer to terminate the flight through thrust termination. As a result, the vehicle failed to achieve orbit, reentering over the Altai Republic region of Russia. It was the first failure of a Progress spacecraft since launches began in 1978, and the third consecutive orbital launch failure worldwide."
548,Soyuz-U | Progress M-13M (45P),Russian Federal Space Agency (ROSCOSMOS),"October 30, 2011 10:11:00 UTC",45.92,63.342,S,Na
549,Zenit-2M | Fobos-Grunt & Yinghuo-1,Russian Federal Space Agency (ROSCOSMOS),"October 8, 2011 20:16:00 UTC",45.943492,63.653014,S,Na
550,Zenit-2M | Fobos-Grunt & Yinghuo-1,Russian Federal Space Agency (ROSCOSMOS),"October 8, 2011 20:16:00 UTC",45.943492,63.653014,S,Na
551,Soyuz-2.1a/Fregat | Meridian 3,Land Launch,"November 2, 2010 00:59:00 UTC",62.92883,40.457098,S,Na
552,Soyuz-2.1a/Fregat | Meridian 4,Land Launch,"May 4, 2011 17:41:33 UTC",62.92883,40.457098,S,Na
553,Soyuz-2.1b/Fregat | Meridian 5,Russian Aerospace Defence Forces,"December 23, 2011 12:08:00 UTC",62.92883,40.457098,S,Na
554,Soyuz-2.1a/Fregat | Meridian 6,Russian Aerospace Defence Forces,"November 14, 2012 11:42:46 UTC",62.92883,40.457098,S,Na
555,Soyuz-2.1a/Fregat | Meridian 7,Russian Aerospace Defence Forces,"October 30, 2014 01:42:52 UTC",62.92883,40.457098,S,Na
